Index,Number,Street Name,Details,Region,city,state
98,586,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,587,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,588,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,589,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,590,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,591,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,592,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,593,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,594,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,595,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,596,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,597,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,598,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,599,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,600,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,601,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,602,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,603,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,604,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,605,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,606,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,607,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,608,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
98,609,East Liberty Street,Michigan Theater Building,D,Ann Arbor,Michigan
99,111,West Liberty Street,Ludwig Walz Grocery,D,Ann Arbor,Michigan
100,112,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
100,113,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
100,114,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
100,115,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
100,116,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
100,117,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
100,118,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
100,119,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
100,120,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
100,121,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
100,122,West Liberty Street,The Adam and Anton Schaeberle Buildings,D,Ann Arbor,Michigan
101,113,West Liberty Street,John Haarer Building,D,Ann Arbor,Michigan
102,115,West Liberty Street,Walker Brothers Buildings,D,Ann Arbor,Michigan
102,117,West Liberty Street,Walker Brothers Buildings,D,Ann Arbor,Michigan
102,118,West Liberty Street,Walker Brothers Buildings,D,Ann Arbor,Michigan
102,119,West Liberty Street,Walker Brothers Buildings,D,Ann Arbor,Michigan
103,326,West Liberty Street,Peter Brehm House,W,Ann Arbor,Michigan
104,408,West Liberty Street,Albert Mann House,W,Ann Arbor,Michigan
105,603,West Liberty Street,John and Andrew Jackson House,W,Ann Arbor,Michigan
106,626,West Liberty Street,William and Katherine Kuhn House,W,Ann Arbor,Michigan
107,706,West Liberty Street,John Christian Burkhart House,W,Ann Arbor,Michigan
